AP,F1,Precision,Recall,Accuracy,Threshold,Avg. Time,Cache Type,Model,Key,Sampling
0.9509581445401124,0.6779661016949152,0.5128205128205128,1.0,0.525,0.1,0.0010666954517364502,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6666666666666666,0.5,1.0,0.5,0.11,0.07937878131866455,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6779661016949152,0.5128205128205128,1.0,0.525,0.11,0.0006349122524261474,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6779661016949152,0.5128205128205128,1.0,0.525,0.11,0.0010640692710876464,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6666666666666666,0.5,1.0,0.5,0.12,0.07977008700370788,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6779661016949152,0.5128205128205128,1.0,0.525,0.12,0.0006338703632354736,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.6802721088435374,0.5154639175257731,1.0,0.53,0.12,0.0010659682750701904,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.7034262767070347,0.6666666666666666,0.5,1.0,0.5,0.13,0.07936771512031555,llama2,llama2,---,"[0 1]:[100 100], Total:200"
0.9409600767988001,0.6779661016949152,0.5128205128205128,1.0,0.525,0.13,0.0006388914585113525,FedGPTCache-albert,albert,15th:tname-paraphrase-albert-small-v2-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
0.9509581445401124,0.68259385665529,0.5181347150259067,1.0,0.535,0.13,0.0010681736469268799,FedGPTCache-mpnet,mpnet,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-,"[0 1]:[100 100], Total:200"
