AP,F1,Precision,Recall,Accuracy,True Hit Rate,False Hit Rate,True Miss Rate,False Miss Rate,Threshold,Key
0.9174313677738514,0.8682333193453629,0.8256185155626496,0.9154867256637168,0.8610619469026549,0.7013274336283186,0.23097345132743363,0.7712389380530974,0.06548672566371681,0.7791764736175537,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9180955126791427,0.870020964360587,0.8266932270916335,0.918141592920354,0.8628318584070797,0.7026548672566372,0.23030973451327433,0.7716814159292036,0.06504424778761062,0.7761870622634888,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9186308402960555,0.8721709974853311,0.8284235668789809,0.9207964601769911,0.8650442477876106,0.7030973451327434,0.23053097345132742,0.772566371681416,0.06327433628318584,0.77488112449646,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9193731879391054,0.8640226628895183,0.7960477255779269,0.9446902654867256,0.8513274336283185,0.7207964601769912,0.2584070796460177,0.718141592920354,0.04424778761061947,0.741082489490509,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.919909988635655,0.8727501046462955,0.8280381254964257,0.922566371681416,0.8654867256637168,0.7057522123893806,0.23053097345132742,0.7716814159292036,0.061504424778761065,0.7763444781303406,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9204324980761516,0.8715481171548116,0.8265873015873015,0.9216814159292035,0.8641592920353982,0.7057522123893806,0.23141592920353982,0.7699115044247787,0.061504424778761065,0.7745928764343262,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.921068601627155,0.8709273182957393,0.8247626582278481,0.922566371681416,0.8632743362831858,0.7057522123893806,0.2331858407079646,0.7672566371681416,0.060619469026548675,0.7722135782241821,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9215428019541796,0.872673434856176,0.8358995137763371,0.9128318584070797,0.8668141592920354,0.6964601769911505,0.2234513274336283,0.7876106194690266,0.06902654867256637,0.7831255793571472,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9219816079512848,0.8731264513405108,0.8348809043197416,0.9150442477876106,0.8670353982300885,0.6986725663716814,0.225,0.7836283185840708,0.06769911504424779,0.7805453538894653,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9220880400962874,0.8723809523809524,0.8361054766734279,0.9119469026548672,0.8665929203539823,0.6946902654867256,0.2232300884955752,0.7884955752212389,0.07035398230088495,0.7823724746704102,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9228211700668223,0.874141876430206,0.8248920298390263,0.929646017699115,0.8661504424778761,0.7061946902654868,0.23584070796460177,0.7650442477876106,0.05707964601769912,0.7663593292236328,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.922853997127674,0.8748159057437408,0.8339350180505415,0.9199115044247788,0.8683628318584071,0.7013274336283186,0.22676991150442477,0.781858407079646,0.06327433628318584,0.7794209718704224,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9230269743288123,0.8759493670886076,0.8370967741935483,0.9185840707964602,0.8699115044247787,0.7,0.2243362831858407,0.7871681415929204,0.06415929203539823,0.7803285121917725,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9235411779418696,0.8754478398314015,0.8358148893360161,0.9190265486725664,0.8692477876106195,0.6995575221238938,0.2254424778761062,0.7849557522123893,0.06460176991150443,0.7784501314163208,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9237764938255535,0.8775553213909378,0.8378269617706238,0.9212389380530973,0.8714601769911504,0.7017699115044248,0.22300884955752212,0.7889380530973451,0.06327433628318584,0.781546950340271,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9241864360025924,0.8761190922340204,0.8273692489186001,0.9309734513274336,0.8683628318584071,0.7079646017699115,0.2327433628318584,0.7694690265486726,0.05707964601769912,0.7700651288032532,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9245046188524173,0.8769808173477898,0.8292586750788643,0.9305309734513274,0.8694690265486725,0.7079646017699115,0.23097345132743363,0.7730088495575221,0.05707964601769912,0.7720072269439697,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9249011334610542,0.877542372881356,0.841869918699187,0.9163716814159292,0.8721238938053097,0.697787610619469,0.22035398230088496,0.7942477876106194,0.06725663716814159,0.7858753204345703,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9250953783145014,0.8753900561680882,0.8260698861405575,0.9309734513274336,0.8674778761061946,0.7084070796460177,0.23407079646017698,0.768141592920354,0.05530973451327434,0.7688639163970947,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
0.9254309976679339,0.8778512044340226,0.8469765528589058,0.9110619469026549,0.8732300884955753,0.6938053097345133,0.2157079646017699,0.8035398230088495,0.07123893805309735,0.792782187461853,15th:tname-multi-qa-mpnet-base-cos-v1-dname-dgptcache-clients_per_round-4-num_clients-20-batch_size-128-device-cuda-client_epochs-6-num_rounds-50-loss_type-both-mnr-contrastive-
